Year,DOY,Reference Name
09/04/1603,08/04/2000,GIENJUNKO-NIKKI(DAIGO)
04/04/1604,04/04/2000,GIENJUNKO-NIKKI(DAIGO)
15/04/1605,14/04/2000,TOKIYOSHI-KYOKI
16/04/1606,15/04/2000,TOKIYOSHI-KYOKI
20/04/1607,19/04/2000,SHUNKYUKI(DAIGO)
18/04/1609,17/04/2000,TOKIYOSHI-KYOKI
20/04/1610,19/04/2000,KEICHO-NIKKENROKU
27/03/1612,27/03/2000,GIENJUNKO-NIKKI(DAIGO)
16/04/1613,15/04/2000,TOKIYOSHI-KYOKI
13/04/1614,12/04/2000,TOKIYOSHI-KYOKI
20/04/1615,19/04/2000,YASUSHIGE-KYOKI
01/05/1616,01/05/2000,YASUSHIGE-KYOKI
17/04/1617,16/04/2000,YASUSHIGE-KYOKI
12/04/1618,11/04/2000,TOKIYOSHI-KYOKI
03/04/1619,02/04/2000,(DAINIHON-SHIRYO)
19/04/1621,18/04/2000,(DAINIHON-SHIRYO)
16/04/1622,15/04/2000,RYOGEN-IN-KI
23/04/1623,22/04/2000,YASUSHIGE-KYOKI
21/04/1624,21/04/2000,YASUSHIGE-KYOKI
05/04/1625,04/04/2000,OYUDONONO-UENO-NIKKI
10/04/1626,09/04/2000,(SHIRYO-SORAN)
13/04/1628,13/04/2000,ROKUON-NICHIROKU
22/04/1629,21/04/2000,YASUSHIGE-KYOKI
13/04/1632,13/04/2000,TOKIYOSHI-KYOKI
08/04/1633,07/04/2000,OUCHI-NIKKI
06/04/1634,05/04/2000,MICHIFUSA-KOKI
07/04/1635,06/04/2000,(SHIRYO-SORAN)
15/04/1637,14/04/2000,TOKIYOSHI-KYOKI
15/04/1638,14/04/2000,KAKUMEIKI
18/04/1639,17/04/2000,KAKUMEIKI
12/04/1640,12/04/2000,KYOHAKUSHU
27/04/1641,26/04/2000,HIRAMATSUKE-HINAMI-SHIKI
24/04/1642,23/04/2000,HIRAMATSUKE-HINAMI-SHIKI
24/04/1643,23/04/2000,KAKUMEIKI
14/04/1644,14/04/2000,HIRAMATSU-TOKIMORIKI
09/04/1645,08/04/2000,HIRAMATSU-TOKIMORIKI
28/03/1646,27/03/2000,SHOHO-2-NEN-IKO-NIKKI
22/04/1647,21/04/2000,KAKUMEIKI
14/04/1649,13/04/2000,KAKUMEIKI
12/04/1650,11/04/2000,KAKUMEIKI
17/04/1651,16/04/2000,ZOKU-SHIGUSHO
16/04/1652,16/04/2000,KAKUMEIKI
22/04/1653,21/04/2000,KAKUMEIKI
14/04/1654,13/04/2000,KAKUMEIKI
14/04/1655,13/04/2000,ISHIKAWA-NIKKI
12/04/1656,12/04/2000,ISHIKAWA-NIKKI
18/04/1658,17/04/2000,KAKUMEIKI
20/04/1660,20/04/2000,KAKUMEIKI
03/04/1661,02/04/2000,BURUI-GENYO-WAKASHU
20/04/1662,19/04/2000,KAKUMEIKI
15/04/1663,14/04/2000,KAKUMEIKI
14/04/1664,14/04/2000,KAKUMEIKI
